route,operator,flights_in_season,route_total,share_pct
CHENNAI-CUDDAPAH,IndiGo,237.7142857142857,237.7142857142857,100.0
CHENNAI-DELHI,IndiGo,4179.142857142857,8148.428571428571,51.29
CHENNAI-DELHI,Air India,3969.285714285714,8148.428571428571,48.71
CHENNAI-DURGAPUR,IndiGo,266.7142857142857,266.7142857142857,100.0
CHENNAI-GOA,IndiGo,418.0,418.0,100.0
CHENNAI-GUWAHATI,IndiGo,833.7142857142858,1253.857142857143,66.49
CHENNAI-GUWAHATI,Air India Express,420.1428571428571,1253.857142857143,33.51
CHENNAI-HINDON,IndiGo,258.1428571428572,258.1428571428572,100.0
CHENNAI-HYDERABAD,IndiGo,3343.1428571428573,4324.857142857143,77.3
CHENNAI-HYDERABAD,SpiceJet,805.1428571428571,4324.857142857143,18.62
CHENNAI-HYDERABAD,Alliance Air,176.57142857142856,4324.857142857143,4.08
CHENNAI-INDORE,IndiGo,593.4285714285714,593.4285714285714,100.0
CHENNAI-JAIPUR,IndiGo,418.0,418.0,100.0
CHENNAI-KANNUR,IndiGo,238.8571428571429,238.8571428571429,100.0
CHENNAI-KOCHI,IndiGo,2057.8571428571427,2475.8571428571427,83.12
CHENNAI-KOCHI,SpiceJet,418.0,2475.8571428571427,16.88
CHENNAI-KOLKATA,IndiGo,2924.1428571428573,4594.285714285714,63.65
CHENNAI-KOLKATA,Air India Express,835.1428571428571,4594.285714285714,18.18
CHENNAI-KOLKATA,SpiceJet,835.0,4594.285714285714,18.17
CHENNAI-KOZHIKODE,IndiGo,417.0,476.4285714285714,87.53
CHENNAI-KOZHIKODE,SpiceJet,59.42857142857143,476.4285714285714,12.47
CHENNAI-LUCKNOW,IndiGo,418.0,418.0,100.0
